id,law_ref,old_position,new_position,signed_shift,absolute_shift,nearest_same_article_gap_in_shuffled_order
FLEXID-0085,"Cass. Civ. 1re, 23 mars 1965, n°63-11.238",85,855,770,770,
FLEXID-0086,Code civil 1401,86,786,700,700,331
FLEXID-0087,C. civ. art. 815-13,87,708,621,621,331
FLEXID-0088,C. civ. art. 815-13,88,377,289,289,331
FLEXID-0089,C. civ. art. 1426,89,927,838,838,468
FLEXID-0090,Code civil 1426,90,330,240,240,
FLEXID-0091,C. civ. art. 1421,91,234,143,143,331
FLEXID-0092,Code civil 1402,92,313,221,221,468
FLEXID-0093,C. civ. art. 1401,93,652,559,559,
FLEXID-0094,C. civ. art. 1426,94,459,365,365,331
FLEXID-0095,C. civ. art. 815,95,734,639,639,331
FLEXID-0096,C. civ. art. 815,96,403,307,307,331
FLEXID-0097,C. civ. art. 815-13,97,46,-51,51,331
FLEXID-0098,C. civ. art. 1240,98,140,42,42,331
FLEXID-0099,C. civ. art. 1353,99,218,119,119,331
FLEXID-0100,C. civ. art. 1240,100,471,371,371,331
FLEXID-0101,C. civ. art. 1143,101,318,217,217,417
FLEXID-0102,C. civ. art. 1240,102,802,700,700,331
FLEXID-0103,C. civ. art. 1124,103,641,538,538,
FLEXID-0104,C. civ. art. 1123,104,328,224,224,
FLEXID-0105,C. civ. art. 60,105,392,287,287,331
FLEXID-0106,C. civ. art. 57,106,664,558,558,331
FLEXID-0107,Code civil 61-5,107,831,724,724,
FLEXID-0108,C. civ. art. 57,108,333,225,225,331
FLEXID-0109,C. civ. art. 55,109,560,451,451,331
FLEXID-0110,C. civ. art. 1242 al. 1,110,323,213,213,336
FLEXID-0111,C. civ. art. 1242,111,317,206,206,656
FLEXID-0112,C. civ. art. 1242,112,973,861,861,656
FLEXID-0113,Code civil 815-17  ali. 2-3,113,635,522,522,
FLEXID-0114,Code civil 815-17 al.2-3,114,863,749,749,
FLEXID-0115,Code civil 815-17 al. 1,115,644,529,529,
FLEXID-0116,Code civil 815-17 al. 2-3,116,630,514,514,
FLEXID-0117,Code civil 215,117,148,31,31,331
FLEXID-0118,Code civil 215,118,479,361,361,331
FLEXID-0119,Code civil 215,119,991,872,872,512
FLEXID-0120,Code civil 2300,120,312,192,192,489
FLEXID-0121,Code civil  2300,121,642,521,521,
FLEXID-0122,Code civil 2300,122,801,679,679,489
FLEXID-0123,Code civil 1589 al.1,123,259,136,136,331
FLEXID-0124,Code civil 1589 al.1,124,590,466,466,331
FLEXID-0125,Code civil 1589 al.1,125,921,796,796,331
FLEXID-0126,Code civil 1196,126,1002,876,876,331
FLEXID-0127,Code civil 1196,127,671,544,544,331
FLEXID-0128,Code civil 1196,128,340,212,212,331
FLEXID-0129,Code civil 1196,129,9,-120,120,331
FLEXID-0130,Code civil 16-7,130,997,867,867,331
FLEXID-0131,"Jurisprudence Ass. Plén., 31 mai 1991",131,203,72,72,331
FLEXID-0132,Code civil 16-7,132,666,534,534,331
FLEXID-0133,Code civil 16-7,133,335,202,202,331
FLEXID-0134,"Jurisprudence Ass. Plén., 31 mai 1991",134,534,400,400,331
FLEXID-0135,"Jurisprudence Ass. Plén., 31 mai 1991",135,865,730,730,331
FLEXID-0136,"Ass. Plén., 3 juill. 2015",136,986,850,850,642
FLEXID-0137,"Ass. Plén., 3 juill. 2015",137,344,207,207,331
FLEXID-0138,"Ass. Plén., 3 juill. 2015",138,13,-125,125,331
FLEXID-0139,Art. 1193 C. civ.,139,783,644,644,331
FLEXID-0140,Art. 1193 C. civ.,140,452,312,312,331
FLEXID-0141,Art. 1193 C. civ.,141,121,-20,20,331
FLEXID-0142,Code civil 1195,142,322,180,180,451
FLEXID-0143,Art. 1195 C. civ.,143,329,186,186,
FLEXID-0144,Code civil 1195,144,773,629,629,451
FLEXID-0145,Art. 1422 C. civ.,145,326,181,181,
FLEXID-0146,Art. code civil 1422,146,874,728,728,
FLEXID-0147,Code civil 1422,147,327,180,180,
FLEXID-0148,Code civil 371-1,148,290,142,142,331
FLEXID-0149,Code civil 371-1,149,621,472,472,331
FLEXID-0150,Code civil 371-1,150,952,802,802,331
FLEXID-0151,Code civil 544,151,181,30,30,331
FLEXID-0152,Code civil 544,152,512,360,360,331
FLEXID-0153,Code civil 544,153,843,690,690,331
FLEXID-0154,Code civil 893,154,711,557,557,331
FLEXID-0155,Code civil 893,155,380,225,225,331
FLEXID-0156,Code civil 893,156,49,-107,107,331
FLEXID-0157,Art. 515-14 C. civ.,157,301,144,144,354
FLEXID-0158,Code civil 515-14,158,314,156,156,331
FLEXID-0159,Code civil 515-14,159,645,486,486,331
FLEXID-0160,Code civil 1129,160,308,148,148,345
FLEXID-0161,Code civil 1129,161,653,492,492,345
FLEXID-0162,Code civil  1129,162,682,520,520,
FLEXID-0163,Code civil 414-1,163,870,707,707,416
FLEXID-0164,Code civil 414-1,164,454,290,290,331
FLEXID-0165,Code civil 414-1,165,123,-42,42,331
FLEXID-0166,Art. 1644 C. civ.,166,658,492,492,
FLEXID-0167,Code civil 1644,167,304,137,137,380
FLEXID-0168,Code civil 1644,168,684,516,516,380
FLEXID-0169,C. civ. art. 1136,169,105,-64,64,331
FLEXID-0170,C. civ. art. 1143,170,735,565,565,417
FLEXID-0171,C. civ. art. 1172,171,633,462,462,331
FLEXID-0172,"Code civil, art. 1182",172,28,-144,144,331
FLEXID-0173,C. civ. art. 1353,173,549,376,376,331
FLEXID-0174,C. civ. art. 1353,174,880,706,706,331
FLEXID-0175,Code civil 16-7,175,4,-171,171,331
FLEXID-0176,Code civil Art. 161,176,3,-173,173,331
FLEXID-0177,C. civ. art. 2276,177,1,-176,176,331
FLEXID-0178,C. civ. art. 55,178,891,713,713,331
FLEXID-0179,C. civ. art. 311-21 al. 1,179,8,-171,171,331
FLEXID-0180,Code civil 312,180,643,463,463,
FLEXID-0181,civ. art. 317 (al. 2),181,920,739,739,611
FLEXID-0182,C. civ. art. 317 (al. 3),182,988,806,806,685
FLEXID-0183,Code civil Art.320,183,654,471,471,338
FLEXID-0184,C. civ. art. 57,184,2,-182,182,331
FLEXID-0185,C. civ. art. 60,185,61,-124,124,331
FLEXID-0186,C. civ. art. 9,186,796,610,610,331
FLEXID-0187,C. civ. art. 1426,187,128,-59,59,331
FLEXID-0188,Art. 515-14 C. civ.,188,655,467,467,354
FLEXID-0189,C. civ. art. 1100 al. 2,189,374,185,185,331
FLEXID-0190,C. civ. art. 1100 al. 2,190,43,-147,147,331
FLEXID-0191,C. civ. art. 1100-1,191,609,418,418,331
FLEXID-0192,C. civ. art. 1100-1,192,940,748,748,331
FLEXID-0193,C. civ. art. 1112-1,193,397,204,204,331
FLEXID-0194,C. civ. art. 1112-1,194,66,-128,128,331
FLEXID-0195,"C. civ., art. 1113",195,375,180,180,331
FLEXID-0196,"C. civ., art. 1113",196,44,-152,152,331
FLEXID-0197,C. civ. art. 1128,197,675,478,478,360
FLEXID-0198,C. civ. art. 1132,198,515,317,317,331
FLEXID-0199,C. civ. art. 1132,199,846,647,647,331
FLEXID-0200,C. civ. art. 1137 al. 3,200,571,371,371,331
FLEXID-0201,C. civ. art. 1137 al. 3,201,902,701,701,331
FLEXID-0202,C. civ. art. 1164,202,450,248,248,331
FLEXID-0203,C. civ. art. 1164,203,119,-84,84,331
FLEXID-0204,Code civil Article 1231-1,204,497,293,293,331
FLEXID-0205,Code civil Article 1231-1,205,828,623,623,331
FLEXID-0206,C. civ. art. 1358,206,810,604,604,505
FLEXID-0207,C. civ. art. 1359,207,649,442,442,
FLEXID-0208,C. civ. art. 1360,208,637,429,429,331
FLEXID-0209,Code civil 1401,209,455,246,246,331
FLEXID-0210,Code civil 1401,210,124,-86,86,331
FLEXID-0211,Code civil 1402,211,781,570,570,468
FLEXID-0212,C. civ. art. 1421,212,565,353,353,331
FLEXID-0213,C. civ. art. 1421,213,896,683,683,331
FLEXID-0214,C. civ. art. 2274,214,678,464,464,358
FLEXID-0215,C. civ. art. 229-1,215,530,315,315,331
FLEXID-0216,C. civ. art. 229-1,216,861,645,645,331
FLEXID-0217,C. civ. art. 233,217,833,616,616,526
FLEXID-0218,C. civ. art. 238,218,727,509,509,372
FLEXID-0219,C. civ. art. 238,219,24,-195,195,331
FLEXID-0220,C. civ. art. 1242 al. 1,220,659,439,439,336
FLEXID-0221,C. civ. art. 242,221,573,352,352,331
FLEXID-0222,C. civ. art. 311-25,222,566,344,344,331
FLEXID-0223,C. civ. art. 311-25,223,897,674,674,331
FLEXID-0224,C. civ. art. 60 alinea 1,224,601,377,377,331
FLEXID-0225,C. civ. art. 60 alinéa 1 et  2,225,681,456,456,371
FLEXID-0226,C. civ. art. 60 alinéa 4,226,416,190,190,331
FLEXID-0227,C. civ. art. 815,227,72,-155,155,331
FLEXID-0228,C. civ. art. 21-20,228,949,721,721,410
FLEXID-0229,C. civ. art. 21-20,229,539,310,310,331
FLEXID-0230,C. civ. art. 60 alinea 1,230,932,702,702,331
FLEXID-0231,C. civ. art. 21-20,231,208,-23,23,331
FLEXID-0232,C. civ. art. 60 alinéa 4,232,85,-147,147,331
FLEXID-0233,C. civ. art. 242,233,904,671,671,331
FLEXID-0234,C. civ. art. 21-18,234,261,27,27,331
FLEXID-0235,C. civ. art. 21-18,235,592,357,357,331
FLEXID-0236,C. civ. art. 21-18,236,982,746,746,390
FLEXID-0237,C. civ. art. 312,237,7,-230,230,331
FLEXID-0238,C. civ. art. 61-5,238,5,-233,233,331
FLEXID-0239,C. civ. art. 16,239,14,-225,225,331
FLEXID-0240,C. civ. art. 515-14,240,325,85,85,
FLEXID-0241,"Code civil, art. 5",241,847,606,606,331
FLEXID-0242,"Code civil, art. 5",242,516,274,274,331
FLEXID-0243,"Code civil, art. 5",243,185,-58,58,331
FLEXID-0244,"Code civil, art. 7",244,779,535,535,331
FLEXID-0245,"Code civil, art. 7",245,448,203,203,331
FLEXID-0246,"Code civil, art. 7",246,117,-129,129,331
FLEXID-0247,"Code civil, art. 8",247,972,725,725,502
FLEXID-0248,"Code civil, art. 8",248,470,222,222,331
FLEXID-0249,"Code civil, art. 8",249,139,-110,110,331
FLEXID-0250,"Code civil, art. 9-1",250,851,601,601,331
FLEXID-0251,"Code civil, art. 9-1",251,520,269,269,331
FLEXID-0252,"Code civil, art. 9-1",252,189,-63,63,331
FLEXID-0253,"Code civil, art. 10",253,800,547,547,331
FLEXID-0254,"Code civil, art. 10",254,469,215,215,331
FLEXID-0255,"Code civil, art. 10",255,138,-117,117,331
FLEXID-0256,"Code civil, art. 11",256,818,562,562,331
FLEXID-0257,"Code civil, art. 11",257,487,230,230,331
FLEXID-0258,"Code civil, art. 11",258,156,-102,102,331
FLEXID-0259,"Code civil, art. 14",259,337,78,78,331
FLEXID-0260,"Code civil, art. 14",260,668,408,408,331
FLEXID-0261,"Code civil, art. 14",261,999,738,738,331
FLEXID-0262,"Code civil, art. 14",262,6,-256,256,331
FLEXID-0263,"Code civil, art. 15",263,903,640,640,331
FLEXID-0264,"Code civil, art. 15",264,572,308,308,331
FLEXID-0265,"Code civil, art. 15",265,241,-24,24,331
FLEXID-0266,"Code civil, art. 16",266,280,14,14,331
FLEXID-0267,"Code civil, art. 16",267,611,344,344,331
FLEXID-0268,"Code civil, art. 16",268,942,674,674,331
FLEXID-0269,"Code civil, art. 16-1",269,911,642,642,331
FLEXID-0270,"Code civil, art. 16-1",270,580,310,310,331
FLEXID-0271,"Code civil, art. 16-1",271,249,-22,22,331
FLEXID-0272,"Code civil, art. 16-1-1",272,398,126,126,331
FLEXID-0273,"Code civil, art. 16-1-1",273,729,456,456,331
FLEXID-0274,"Code civil, art. 16-1-1",274,67,-207,207,331
FLEXID-0275,"Code civil, art. 16-2",275,795,520,520,331
FLEXID-0276,"Code civil, art. 16-2",276,464,188,188,331
FLEXID-0277,"Code civil, art. 16-2",277,133,-144,144,331
FLEXID-0278,"Code civil, art. 16-5",278,812,534,534,331
FLEXID-0279,"Code civil, art. 16-5",279,481,202,202,331
FLEXID-0280,"Code civil, art. 16-5",280,150,-130,130,331
FLEXID-0281,"Code civil, art. 16-6",281,872,591,591,331
FLEXID-0282,"Code civil, art. 16-6",282,541,259,259,331
FLEXID-0283,"Code civil, art. 16-6",283,210,-73,73,331
FLEXID-0284,"Code civil, art. 16-7",284,299,15,15,361
FLEXID-0285,"ode civil, art. 16-7",285,631,346,346,
FLEXID-0286,"Code civil, art. 16-7",286,660,374,374,361
FLEXID-0287,"Code civil, art. 16-13",287,394,107,107,331
FLEXID-0288,"Code civil, art. 16-13",288,725,437,437,331
FLEXID-0289,"Code civil, art. 16-13",289,63,-226,226,331
FLEXID-0290,"Code civil, art. 16-14",290,877,587,587,331
FLEXID-0291,"Code civil, art. 16-14",291,546,255,255,331
FLEXID-0292,"Code civil, art. 16-14",292,215,-77,77,331
FLEXID-0293,"Code civil, art. 17-4",293,634,341,341,
FLEXID-0294,"Code civil, art. 17-6",294,401,107,107,331
FLEXID-0295,"Code civil, art. 17-6",295,732,437,437,331
FLEXID-0296,"Code civil, art. 17-6",296,70,-226,226,331
FLEXID-0297,"Code civil, art. 17-8",297,918,621,621,331
FLEXID-0298,"Code civil, art. 17-8",298,587,289,289,331
FLEXID-0299,"Code civil, art. 17-8",299,256,-43,43,331
FLEXID-0300,"Code civil, art. 18",300,832,532,532,331
FLEXID-0301,"Code civil, art. 18",301,501,200,200,331
FLEXID-0302,"Code civil, art. 18",302,170,-132,132,331
FLEXID-0303,"Code civil, art. 18-1",303,430,127,127,331
FLEXID-0304,"Code civil, art. 18-1",304,761,457,457,331
FLEXID-0305,"Code civil, art. 18-1",305,99,-206,206,331
FLEXID-0306,"Code civil, art. 19",306,405,99,99,331
FLEXID-0307,"Code civil, art. 19",307,736,429,429,331
FLEXID-0308,"Code civil, art. 19",308,74,-234,234,331
FLEXID-0309,"Code civil, art. 19-1",309,447,138,138,331
FLEXID-0310,"Code civil, art. 19-1",310,778,468,468,331
FLEXID-0311,"Code civil, art. 19-1",311,116,-195,195,331
FLEXID-0312,"Code civil, art. 19-3",312,890,578,578,331
FLEXID-0313,"Code civil, art. 19-3",313,559,246,246,331
FLEXID-0314,"Code civil, art. 19-3",314,228,-86,86,331
FLEXID-0315,"Code civil, art. 20-1",315,368,53,53,331
FLEXID-0316,"Code civil, art. 20-1",316,747,431,431,379
FLEXID-0317,"Code civil, art. 20-1",317,37,-280,280,331
FLEXID-0318,"Code civil, art. 20-4",318,423,105,105,331
FLEXID-0319,"Code civil, art. 20-4",319,754,435,435,331
FLEXID-0320,"Code civil, art. 20-4",320,92,-228,228,331
FLEXID-0321,"Code civil, art. 21",321,922,601,601,331
FLEXID-0322,"Code civil, art. 21",322,591,269,269,331
FLEXID-0323,"Code civil, art. 21",323,260,-63,63,331
FLEXID-0324,"Code civil, art. 21-1",324,825,501,501,331
FLEXID-0325,"Code civil, art. 21-1",325,494,169,169,331
FLEXID-0326,"Code civil, art. 21-1",326,163,-163,163,331
FLEXID-0327,"Code civil, art. 21-6",327,688,361,361,388
FLEXID-0328,"Code civil, art. 21-6",328,300,-28,28,388
FLEXID-0329,"ode civil, art. 21-6",329,657,328,328,
FLEXID-0330,"Code civil, art. 21-16",330,389,59,59,331
FLEXID-0331,"Code civil, art. 21-16",331,720,389,389,331
FLEXID-0332,"Code civil, art. 21-16",332,58,-274,274,331
FLEXID-0333,"Code civil, art. 21-21",333,867,534,534,331
FLEXID-0334,"Code civil, art. 21-21",334,536,202,202,331
FLEXID-0335,"Code civil, art. 21-21",335,205,-130,130,331
FLEXID-0336,"Code civil, art. 21-22",336,395,59,59,331
FLEXID-0337,"Code civil, art. 21-22",337,726,389,389,331
FLEXID-0338,"Code civil, art. 21-22",338,64,-274,274,331
FLEXID-0339,"Code civil, art. 21-24-1",339,442,103,103,331
FLEXID-0340,"Code civil, art. 21-24-1",340,844,504,504,402
FLEXID-0341,"Code civil, art. 21-24-1",341,111,-230,230,331
FLEXID-0342,"Code civil, art. 21-25-1",342,353,11,11,331
FLEXID-0343,"Code civil, art. 21-25-1",343,785,442,442,432
FLEXID-0344,"Code civil, art. 21-25-1",344,22,-322,322,331
FLEXID-0345,"Code civil, art. 21-27-1",345,463,118,118,331
FLEXID-0346,"Code civil, art. 21-27-1",346,794,448,448,331
FLEXID-0347,"Code civil, art. 21-27-1",347,132,-215,215,331
FLEXID-0348,"Code civil, art. 21-29",348,509,161,161,331
FLEXID-0349,"Code civil, art. 21-29",349,984,635,635,475
FLEXID-0350,"Code civil, art. 21-29",350,178,-172,172,331
FLEXID-0351,"Code civil, art. 22",351,356,5,5,331
FLEXID-0352,"Code civil, art. 22",352,985,633,633,629
FLEXID-0353,"Code civil, art. 22",353,25,-328,328,331
FLEXID-0354,"Code civil, art. 22-1",354,364,10,10,331
FLEXID-0355,"Code civil, art. 22-1",355,695,340,340,331
FLEXID-0356,"Code civil, art. 22-1",356,33,-323,323,331
FLEXID-0357,"Code civil, art. 23-1",357,686,329,329,336
FLEXID-0358,"Code civil, art. 23-1",358,19,-339,339,331
FLEXID-0359,"Code civil, art. 23-1",359,350,-9,9,331
FLEXID-0360,"Code civil, art. 23-4",360,967,607,607,610
FLEXID-0361,"Code civil, art. 23-4",361,26,-335,335,331
FLEXID-0362,"Code civil, art. 23-4",362,357,-5,5,331
FLEXID-0363,"Code civil, art. 23-6",363,980,617,617,382
FLEXID-0364,"Code civil, art. 23-6",364,598,234,234,331
FLEXID-0365,"Code civil, art. 23-6",365,267,-98,98,331
FLEXID-0366,"Code civil, art. 23-7",366,864,498,498,331
FLEXID-0367,"Code civil, art. 23-7",367,533,166,166,331
FLEXID-0368,"Code civil, art. 23-7",368,202,-166,166,331
FLEXID-0369,"Code civil, art. 27",369,950,581,581,331
FLEXID-0370,"Code civil, art. 27",370,619,249,249,331
FLEXID-0371,"Code civil, art. 27",371,288,-83,83,331
FLEXID-0372,"Code civil, art. 27-1",372,694,322,322,
FLEXID-0373,"Code civil, art. 28",373,680,307,307,331
FLEXID-0374,"Code civil, art. 28",374,18,-356,356,331
FLEXID-0375,"Code civil, art. 28",375,349,-26,26,331
FLEXID-0376,"Code civil, art. 30-1",376,745,369,369,373
FLEXID-0377,"Code civil, art. 30-1",377,41,-336,336,331
FLEXID-0378,"Code civil, art. 30-1",378,372,-6,6,331
FLEXID-0379,"Code civil, art. 30-4",379,387,8,8,331
FLEXID-0380,"Code civil, art. 30-4",380,718,338,338,331
FLEXID-0381,"Code civil, art. 30-4",381,56,-325,325,331
FLEXID-0382,"Code civil, art. 31",382,482,100,100,331
FLEXID-0383,"Code civil, art. 31",383,813,430,430,331
FLEXID-0384,"Code civil, art. 31",384,151,-233,233,331
FLEXID-0385,"Code civil, art. 31-3",385,507,122,122,331
FLEXID-0386,"Code civil, art. 31-3",386,838,452,452,331
FLEXID-0387,"Code civil, art. 31-3",387,176,-211,211,331
FLEXID-0388,"Code civil, art. 32",388,672,284,284,331
FLEXID-0389,"Code civil, art. 32",389,10,-379,379,331
FLEXID-0390,"Code civil, art. 32",390,341,-49,49,331
FLEXID-0391,"Code civil, art. 32-1",391,451,60,60,331
FLEXID-0392,"Code civil, art. 32-1",392,782,390,390,331
FLEXID-0393,"Code civil, art. 32-1",393,120,-273,273,331
FLEXID-0394,"Code civil, art. 32-4",394,508,114,114,331
FLEXID-0395,"Code civil, art. 32-4",395,839,444,444,331
FLEXID-0396,"Code civil, art. 32-4",396,177,-219,219,331
FLEXID-0397,"Code civil, art. 34-1",397,406,9,9,331
FLEXID-0398,"Code civil, art. 34-1",398,929,531,531,523
FLEXID-0399,"Code civil, art. 34-1",399,75,-324,324,331
FLEXID-0400,"Code civil, art. 35",400,939,539,539,331
FLEXID-0401,"Code civil, art. 35",401,608,207,207,331
FLEXID-0402,"Code civil, art. 35",402,277,-125,125,331
FLEXID-0403,"Code civil, art. 37",403,707,304,304,331
FLEXID-0404,"Code civil, art. 37",404,45,-359,359,331
FLEXID-0405,"Code civil, art. 37",405,376,-29,29,331
FLEXID-0406,"Code civil, art. 38",406,938,532,532,331
FLEXID-0407,"Code civil, art. 38",407,607,200,200,331
FLEXID-0408,"Code civil, art. 38",408,276,-132,132,331
FLEXID-0409,"Code civil, art. 47",409,485,76,76,331
FLEXID-0410,"Code civil, art. 47",410,816,406,406,331
FLEXID-0411,"Code civil, art. 47",411,154,-257,257,331
FLEXID-0412,"Code civil, art. 48",412,693,281,281,331
FLEXID-0413,"Code civil, art. 48",413,31,-382,382,331
FLEXID-0414,"Code civil, art. 48",414,362,-52,52,331
FLEXID-0415,"Code civil, art. 51",415,505,90,90,331
FLEXID-0416,"Code civil, art. 51",416,836,420,420,331
FLEXID-0417,"Code civil, art. 51",417,174,-243,243,331
FLEXID-0418,"Code civil, art. 52",418,567,149,149,331
FLEXID-0419,"Code civil, art. 52",419,898,479,479,331
FLEXID-0420,"Code civil, art. 52",420,236,-184,184,331
FLEXID-0421,"Code civil, art. 53",421,443,22,22,331
FLEXID-0422,"Code civil, art. 53",422,774,352,352,331
FLEXID-0423,"Code civil, art. 53",423,112,-311,311,331
FLEXID-0424,"Code civil, art. 61",424,461,37,37,331
FLEXID-0425,"Code civil, art. 61",425,866,441,441,405
FLEXID-0426,"Code civil, art. 61",426,130,-296,296,331
FLEXID-0427,"Code civil, art. 61-1",427,958,531,531,331
FLEXID-0428,"Code civil, art. 61-1",428,627,199,199,331
FLEXID-0429,"Code civil, art. 61-1",429,296,-133,133,331
FLEXID-0430,"Code civil, art. 61-2",430,519,89,89,331
FLEXID-0431,"Code civil, art. 61-2",431,850,419,419,331
FLEXID-0432,"Code civil, art. 61-2",432,188,-244,244,331
FLEXID-0433,"Code civil, art. 61-3",433,550,117,117,331
FLEXID-0434,"Code civil, art. 61-3",434,881,447,447,331
FLEXID-0435,"Code civil, art. 61-3",435,219,-216,216,331
FLEXID-0436,"Code civil, art. 61-8",436,993,557,557,597
FLEXID-0437,"Code civil, art. 61-8",437,65,-372,372,331
FLEXID-0438,"Code civil, art. 61-8",438,396,-42,42,331
FLEXID-0439,"Code civil, art. 62-1",439,583,144,144,331
FLEXID-0440,"Code civil, art. 62-1",440,914,474,474,331
FLEXID-0441,"Code civil, art. 62-1",441,252,-189,189,331
FLEXID-0442,"Code civil, art. 65",442,759,317,317,331
